Fecha,Producto,Metodo de pago,Tipo de Cliente,Region,Metodo de Envio,Estado del Pedido,Marca,Precio Total (ARS),Cantidad de Productos,Descuento Aplicado (%),Cantidad de Pedidos,Monto Pagado (ARS),Tiempo de Envio,Valor del Envio (ARS)
1/12/2024,Tablet,PayPal,Recurrente,Rio Negro,Envio Estandar,Cancelado,Huawei,821750,1,3,18,14079647,3,4020
1/12/2024,Tablet,Tarjeta de Credito,Recurrente,Catamarca,Envio Express,Enviado,Huawei,612728,2,11,16,18255135,1,8261
1/12/2024,Laptop,PayPal,Recurrente,Neuquen,Envio Express,Pendiente,Lenovo,328098,3,12,19,16691494,2,9151
1/12/2024,Camara Digital,PayPal,Recurrente,Chaco,Envio Estandar,Enviado,Huawei,295505,3,1,15,12017716,5,5528
1/12/2024,Camara Digital,Transferencia Bancaria,Recurrente,San Juan,Envio Estandar,Pendiente,Xiaomi,898692,2,12,7,12042281,2,5224
1/12/2024,Reloj Inteligente,Tarjeta de Credito,Recurrente,Buenos Aires,Envio Express,Pendiente,Motorola,829989,3,10,3,6914028,2,7359
1/12/2024,Smartphone,PayPal,Recurrente,Santa Cruz,Recogida en Tienda,Pendiente,Lenovo,480358,3,6,10,14246219,3,6562
1/12/2024,Camara Digital,PayPal,Recurrente,Formosa,Envio Estandar,Entregado,Lenovo,114303,3,6,9,2738014,4,1962
1/12/2024,Auriculares,PayPal,Recurrente,Misiones,Envio Estandar,Pendiente,Huawei,243537,2,8,1,436294,4,8027
1/12/2024,Auriculares,Pago Contra Entrega,Nuevo,Salta,Envio Estandar,Entregado,Motorola,367063,4,13,11,14687108,4,4457
1/12/2024,Camara Digital,Transferencia Bancaria,Recurrente,Santa Cruz,Envio Estandar,Entregado,Lenovo,658740,4,3,19,43986924,5,7740
1/12/2024,Smartphone,Pago Contra Entrega,Nuevo,Rio Negro,Recogida en Tienda,Entregado,Lenovo,923913,1,13,15,11839339,1,6874
1/12/2024,Auriculares,Tarjeta de Credito,Recurrente,Rio Negro,Envio Estandar,Pendiente,Huawei,809611,3,1,13,27461878,4,8775
1/12/2024,Tablet,Tarjeta de Credito,Recurrente,Salta,Envio Estandar,Entregado,Lenovo,259860,2,11,18,8538504,1,9619
1/12/2024,Reloj Inteligente,Tarjeta de Credito,Nuevo,Mendoza,Envio Express,Entregado,Sony,388441,1,15,5,1716646,3,6545
1/12/2024,Smartphone,Pago Contra Entrega,Nuevo,San Juan,Recogida en Tienda,Entregado,Lenovo,627970,4,6,19,44258658,2,7936
1/12/2024,Laptop,Mercado Pago,Nuevo,Tucuman,Envio Estandar,Cancelado,Apple,266972,1,6,13,3250020,1,9366
1/12/2024,Reloj Inteligente,PayPal,Nuevo,Misiones,Envio Express,Cancelado,Sony,438094,4,11,2,3118132,1,9828
1/12/2024,Auriculares,Mercado Pago,Recurrente,Catamarca,Recogida en Tienda,Entregado,LG,453813,2,8,3,2664389,6,7201
1/12/2024,Auriculares,Mercado Pago,Recurrente,San Luis,Envio Express,Pendiente,Apple,653675,4,11,5,12709017,6,1556
1/12/2024,Laptop,PayPal,Nuevo,Corrientes,Envio Express,Pendiente,Samsung,305614,1,11,15,4042287,1,8085
1/12/2024,Laptop,Mercado Pago,Recurrente,Mendoza,Recogida en Tienda,Cancelado,LG,521006,4,15,1,1788862,1,9927
1/12/2024,Accesorios,PayPal,Nuevo,San Luis,Recogida en Tienda,Enviado,Apple,202235,3,7,18,9392082,3,2298
1/12/2024,Camara Digital,Tarjeta de Credito,Recurrente,Salta,Recogida en Tienda,Cancelado,Apple,458016,2,11,2,1585390,3,5275
1/12/2024,Tablet,Mercado Pago,Recurrente,Tierra del Fuego,Recogida en Tienda,Cancelado,Sony,338542,2,7,19,12195423,6,3214
1/12/2024,Laptop,PayPal,Recurrente,San Luis,Envio Estandar,Pendiente,Samsung,338797,4,3,14,16131469,4,5019
1/12/2024,Laptop,Tarjeta de Credito,Recurrente,San Luis,Recogida en Tienda,Entregado,Huawei,187148,4,11,11,7377378,2,2573
1/12/2024,Laptop,Pago Contra Entrega,Recurrente,Chaco,Envio Express,Cancelado,Apple,317487,4,2,11,12924890,2,6223
1/12/2024,Reloj Inteligente,PayPal,Nuevo,Tierra del Fuego,Envio Express,Enviado,Xiaomi,277507,3,12,19,13975431,6,2086
1/12/2024,Accesorios,Tarjeta de Credito,Recurrente,Cordoba,Envio Estandar,Entregado,Lenovo,952021,4,4,19,67261000,3,1630
1/12/2024,Accesorios,Tarjeta de Credito,Recurrente,Tierra del Fuego,Envio Estandar,Cancelado,Xiaomi,745753,2,7,8,10578098,1,5376
1/12/2024,Tablet,Mercado Pago,Recurrente,San Luis,Recogida en Tienda,Enviado,Apple,623026,2,1,1,1181117,5,2422
1/12/2024,Reloj Inteligente,Transferencia Bancaria,Nuevo,Cordoba,Envio Estandar,Enviado,LG,332150,4,15,1,1210885,3,4505
1/12/2024,Reloj Inteligente,Transferencia Bancaria,Nuevo,Corrientes,Envio Estandar,Entregado,Xiaomi,448603,4,13,8,13643013,4,5606
1/12/2024,Camara Digital,Pago Contra Entrega,Recurrente,Santa Fe,Recogida en Tienda,Entregado,Xiaomi,943553,3,10,19,49149255,5,3342
1/12/2024,Camara Digital,Tarjeta de Credito,Recurrente,Buenos Aires,Recogida en Tienda,Enviado,LG,566127,1,12,11,5662637,3,3006
1/12/2024,Camara Digital,PayPal,Nuevo,Neuquen,Envio Estandar,Cancelado,Sony,667065,2,6,16,21070473,4,7133
1/12/2024,Tablet,PayPal,Nuevo,Rio Negro,Recogida en Tienda,Enviado,Huawei,662643,2,1,16,20420896,1,4231
1/12/2024,Camara Digital,Pago Contra Entrega,Nuevo,Formosa,Envio Estandar,Entregado,Sony,525326,2,4,1,938748,2,1487
1/12/2024,Camara Digital,Transferencia Bancaria,Nuevo,Tucuman,Envio Express,Cancelado,Apple,350577,4,3,19,22904742,4,8652
1/12/2024,Camara Digital,PayPal,Recurrente,Mendoza,Envio Express,Enviado,Huawei,673743,1,15,7,4181794,4,8781
1/12/2024,Tablet,Transferencia Bancaria,Nuevo,Buenos Aires,Envio Estandar,Pendiente,Apple,649336,2,14,2,2539535,5,6736
1/12/2024,Smartphone,Pago Contra Entrega,Nuevo,Chaco,Envio Express,Enviado,Lenovo,184407,4,12,6,3838575,1,9284
1/12/2024,Tablet,Transferencia Bancaria,Nuevo,Formosa,Envio Estandar,Entregado,Motorola,755518,4,4,10,28383071,4,8043
1/12/2024,Reloj Inteligente,Mercado Pago,Recurrente,Salta,Recogida en Tienda,Pendiente,Lenovo,198621,4,11,8,6009069,5,1399
1/12/2024,Auriculares,Mercado Pago,Nuevo,San Juan,Recogida en Tienda,Entregado,Motorola,155117,2,8,12,3546429,5,9683
1/12/2024,Smartphone,PayPal,Nuevo,Catamarca,Envio Estandar,Entregado,Motorola,987618,2,6,12,21189673,6,3145
2/12/2024,Accesorios,Transferencia Bancaria,Recurrente,Tucuman,Envio Express,Pendiente,LG,510109,3,11,5,7544930,5,9127
2/12/2024,Accesorios,Tarjeta de Credito,Recurrente,CABA,Envio Express,Cancelado,Apple,645838,1,10,8,4680299,5,4618
2/12/2024,Auriculares,PayPal,Nuevo,Santa Fe,Envio Estandar,Pendiente,Xiaomi,583844,3,3,15,25045247,6,9131
2/12/2024,Laptop,Pago Contra Entrega,Recurrente,Cordoba,Envio Estandar,Entregado,Lenovo,332335,3,3,5,4735529,3,9138
2/12/2024,Smartphone,Transferencia Bancaria,Recurrente,Mendoza,Recogida en Tienda,Entregado,Sony,640942,3,13,4,7433292,2,7772
2/12/2024,Smartphone,Mercado Pago,Nuevo,Buenos Aires,Envio Estandar,Enviado,Huawei,502446,2,9,1,934224,3,3333
2/12/2024,Auriculares,Pago Contra Entrega,Recurrente,Mendoza,Recogida en Tienda,Enviado,Sony,441388,4,4,10,17161343,1,7928
2/12/2024,Reloj Inteligente,PayPal,Recurrente,Tucuman,Recogida en Tienda,Entregado,Xiaomi,694745,1,11,7,4561348,1,1164
2/12/2024,Smartphone,Mercado Pago,Nuevo,Santa Fe,Envio Express,Enviado,Samsung,821488,3,10,13,29810691,5,5511
2/12/2024,Tablet,Mercado Pago,Recurrente,Tucuman,Envio Express,Cancelado,Sony,961465,4,2,15,51685182,6,9600
2/12/2024,Auriculares,Transferencia Bancaria,Nuevo,Neuquen,Recogida en Tienda,Entregado,Lenovo,215471,4,1,12,8926954,5,7430
2/12/2024,Accesorios,Transferencia Bancaria,Nuevo,Cordoba,Envio Express,Cancelado,Huawei,689944,1,13,11,6680170,2,7538
2/12/2024,Camara Digital,Mercado Pago,Nuevo,Tucuman,Envio Express,Enviado,LG,914728,3,9,3,7311965,3,5161
2/12/2024,Accesorios,PayPal,Nuevo,Tucuman,Envio Express,Cancelado,Sony,158939,1,2,5,726107,6,3181
2/12/2024,Accesorios,Mercado Pago,Recurrente,Tucuman,Envio Express,Cancelado,Xiaomi,230736,4,4,10,8422634,1,9631
2/12/2024,Auriculares,Mercado Pago,Recurrente,Tucuman,Recogida en Tienda,Enviado,LG,311954,2,8,18,10263489,5,5138
2/12/2024,Laptop,Mercado Pago,Recurrente,Mendoza,Recogida en Tienda,Entregado,Xiaomi,594806,1,11,17,8710988,3,3810
2/12/2024,Laptop,Transferencia Bancaria,Recurrente,Neuquen,Envio Express,Entregado,Samsung,556971,2,12,10,10018325,5,2862
2/12/2024,Laptop,Mercado Pago,Nuevo,Cordoba,Envio Estandar,Cancelado,Sony,741069,3,5,4,7614670,6,9433
2/12/2024,Auriculares,PayPal,Recurrente,Buenos Aires,Envio Express,Cancelado,Apple,951243,4,11,18,63460606,3,6105
2/12/2024,Auriculares,Transferencia Bancaria,Nuevo,Tucuman,Envio Estandar,Enviado,Lenovo,502021,2,15,17,15340129,1,9195
2/12/2024,Laptop,PayPal,Recurrente,Santa Fe,Recogida en Tienda,Cancelado,Xiaomi,748586,2,4,4,5132264,4,6625
2/12/2024,Camara Digital,Tarjeta de Credito,Nuevo,CABA,Envio Express,Cancelado,Sony,465527,1,12,16,7254783,5,3105
2/12/2024,Camara Digital,Tarjeta de Credito,Recurrente,Santa Fe,Envio Estandar,Cancelado,Sony,232371,3,8,16,10085147,6,3442
2/12/2024,Camara Digital,Pago Contra Entrega,Recurrente,Cordoba,Envio Express,Enviado,Huawei,815054,1,12,6,4464027,2,6687
2/12/2024,Accesorios,Tarjeta de Credito,Recurrente,Cordoba,Recogida en Tienda,Cancelado,Samsung,550936,1,4,18,9037251,5,4147
2/12/2024,Laptop,Mercado Pago,Nuevo,Neuquen,Recogida en Tienda,Enviado,Sony,240976,3,8,11,6815142,5,3752
2/12/2024,Laptop,PayPal,Nuevo,Mendoza,Envio Estandar,Pendiente,LG,368225,2,10,16,10584176,6,9146
2/12/2024,Accesorios,PayPal,Recurrente,Mendoza,Recogida en Tienda,Entregado,Huawei,189806,3,2,15,7420653,4,2763
2/12/2024,Auriculares,Pago Contra Entrega,Recurrente,CABA,Recogida en Tienda,Entregado,Samsung,181934,1,7,9,1573031,5,2734
2/12/2024,Tablet,Transferencia Bancaria,Recurrente,CABA,Envio Estandar,Enviado,Sony,755077,2,7,12,17931966,1,6814
2/12/2024,Smartphone,PayPal,Nuevo,Buenos Aires,Envio Express,Pendiente,Samsung,137603,3,6,12,4229360,2,5650
2/12/2024,Auriculares,PayPal,Nuevo,Cordoba,Envio Estandar,Pendiente,Sony,246296,3,7,17,11317058,2,1784
2/12/2024,Tablet,Transferencia Bancaria,Nuevo,Cordoba,Recogida en Tienda,Entregado,Apple,786216,3,10,13,30332081,5,5264
2/12/2024,Laptop,PayPal,Nuevo,Neuquen,Recogida en Tienda,Cancelado,Xiaomi,421438,3,3,20,21595164,5,1196
2/12/2024,Camara Digital,PayPal,Recurrente,Mendoza,Recogida en Tienda,Cancelado,Lenovo,591229,4,6,20,44452817,5,2711
2/12/2024,Tablet,Tarjeta de Credito,Nuevo,Salta,Recogida en Tienda,Pendiente,Lenovo,899159,1,7,7,5853881,2,1155
2/12/2024,Smartphone,Mercado Pago,Recurrente,Neuquen,Recogida en Tienda,Entregado,Lenovo,765202,4,3,14,42185762,4,2663
2/12/2024,Accesorios,Transferencia Bancaria,Nuevo,Chaco,Envio Express,Enviado,Samsung,728953,1,2,2,1297091,3,5091
2/12/2024,Camara Digital,Pago Contra Entrega,Nuevo,Rio Negro,Recogida en Tienda,Entregado,Huawei,210016,1,3,18,3570911,6,8275
2/12/2024,Accesorios,PayPal,Nuevo,Cordoba,Recogida en Tienda,Entregado,Samsung,427248,1,14,2,813180,2,7386
2/12/2024,Tablet,Mercado Pago,Nuevo,Santa Cruz,Envio Express,Cancelado,Samsung,802723,2,2,2,2769813,6,4169
2/12/2024,Laptop,Tarjeta de Credito,Recurrente,Jujuy,Envio Estandar,Cancelado,Apple,470174,2,3,16,13479406,1,5434
2/12/2024,Accesorios,PayPal,Nuevo,Misiones,Recogida en Tienda,Cancelado,Huawei,220555,4,8,16,12575259,1,6725
2/12/2024,Tablet,Mercado Pago,Recurrente,Chaco,Envio Estandar,Entregado,Sony,311679,4,13,18,21063616,3,6034
2/12/2024,Auriculares,Transferencia Bancaria,Nuevo,Santa Cruz,Envio Estandar,Entregado,LG,798630,3,8,14,33190162,3,3618
2/12/2024,Camara Digital,Transferencia Bancaria,Recurrente,Jujuy,Envio Estandar,Pendiente,LG,478559,3,1,1,1239216,4,6889
2/12/2024,Reloj Inteligente,Tarjeta de Credito,Recurrente,Jujuy,Envio Express,Pendiente,Huawei,337234,3,14,18,17074416,3,4040
2/12/2024,Tablet,Mercado Pago,Recurrente,La Rioja,Recogida en Tienda,Enviado,Huawei,887048,1,5,13,10316657,5,6102
2/12/2024,Reloj Inteligente,Mercado Pago,Recurrente,Tucuman,Envio Express,Enviado,Sony,939169,4,14,13,42427447,5,1097
2/12/2024,Tablet,Transferencia Bancaria,Nuevo,Formosa,Envio Estandar,Enviado,Apple,707684,3,5,4,7795042,4,5116
2/12/2024,Auriculares,Tarjeta de Credito,Nuevo,La Rioja,Envio Estandar,Cancelado,Lenovo,368519,2,4,4,2806905,1,1058
2/12/2024,Auriculares,Pago Contra Entrega,Recurrente,Mendoza,Envio Express,Entregado,Huawei,457159,1,9,18,7591865,3,8650
2/12/2024,Smartphone,Mercado Pago,Recurrente,Buenos Aires,Recogida en Tienda,Pendiente,Sony,240838,2,5,12,5164561,4,1637
2/12/2024,Tablet,Tarjeta de Credito,Nuevo,Jujuy,Recogida en Tienda,Enviado,Sony,912748,2,8,12,18665335,2,9057
2/12/2024,Tablet,Tarjeta de Credito,Recurrente,Santa Cruz,Envio Express,Enviado,Lenovo,271274,4,13,17,16722844,4,1778
2/12/2024,Reloj Inteligente,Transferencia Bancaria,Recurrente,San Luis,Recogida en Tienda,Cancelado,Huawei,287962,3,10,13,10392136,5,4482
2/12/2024,Accesorios,Transferencia Bancaria,Nuevo,San Juan,Envio Estandar,Cancelado,Lenovo,303679,3,12,9,7739909,1,9345
2/12/2024,Camara Digital,Transferencia Bancaria,Recurrente,Salta,Envio Estandar,Pendiente,Apple,257726,4,13,6,5471490,4,2777
2/12/2024,Reloj Inteligente,PayPal,Recurrente,Misiones,Envio Express,Entregado,Xiaomi,143817,1,5,7,895571,3,8087
2/12/2024,Accesorios,Pago Contra Entrega,Recurrente,Neuquen,Recogida en Tienda,Entregado,Apple,503353,1,5,7,3170873,4,7869
2/12/2024,Smartphone,Tarjeta de Credito,Nuevo,Misiones,Recogida en Tienda,Pendiente,Xiaomi,850468,1,13,5,4140759,5,5145
2/12/2024,Tablet,Mercado Pago,Recurrente,Jujuy,Envio Express,Enviado,Xiaomi,405097,1,3,12,4637797,4,6124
2/12/2024,Laptop,Pago Contra Entrega,Recurrente,Neuquen,Recogida en Tienda,Pendiente,Xiaomi,127677,4,10,13,5767481,5,9995
2/12/2024,Reloj Inteligente,Mercado Pago,Nuevo,Jujuy,Envio Express,Enviado,Sony,969436,4,8,9,34083972,2,8870
2/12/2024,Smartphone,Mercado Pago,Recurrente,CABA,Envio Express,Pendiente,Apple,646655,3,1,17,30022712,4,3695
2/12/2024,Reloj Inteligente,PayPal,Nuevo,Neuquen,Envio Express,Enviado,Lenovo,589485,2,3,8,8942468,3,7321
2/12/2024,Camara Digital,PayPal,Recurrente,Formosa,Envio Estandar,Entregado,Motorola,541096,3,8,14,20112374,6,1710
2/12/2024,Smartphone,Transferencia Bancaria,Nuevo,Salta,Envio Express,Pendiente,Apple,675291,3,2,1,1891098,6,8940
2/12/2024,Reloj Inteligente,Mercado Pago,Nuevo,Buenos Aires,Recogida en Tienda,Entregado,LG,854823,3,6,18,40302368,5,5687
2/12/2024,Camara Digital,Pago Contra Entrega,Nuevo,Formosa,Envio Estandar,Enviado,Xiaomi,937204,4,6,7,25338808,5,9926
2/12/2024,Smartphone,Mercado Pago,Recurrente,Formosa,Envio Express,Pendiente,Motorola,156043,2,2,14,4111761,4,4221
2/12/2024,Auriculares,PayPal,Nuevo,Salta,Envio Express,Enviado,Motorola,291328,1,13,3,774377,2,3949
3/12/2024,Reloj Inteligente,Transferencia Bancaria,Recurrente,Neuquen,Envio Express,Pendiente,Lenovo,659067,3,5,13,23431104,5,2001
3/12/2024,Auriculares,Tarjeta de Credito,Recurrente,CABA,Recogida en Tienda,Enviado,Samsung,311710,1,2,8,2451936,1,4093
3/12/2024,Accesorios,Pago Contra Entrega,Recurrente,Mendoza,Envio Express,Entregado,Apple,218237,1,10,7,1415186,2,8963
3/12/2024,Camara Digital,Tarjeta de Credito,Recurrente,Cordoba,Envio Estandar,Cancelado,Apple,631810,4,12,6,14242470,2,4436
3/12/2024,Laptop,Tarjeta de Credito,Nuevo,Neuquen,Recogida en Tienda,Enviado,Samsung,480574,1,2,13,5766252,5,3174
3/12/2024,Accesorios,Pago Contra Entrega,Nuevo,Buenos Aires,Envio Estandar,Pendiente,Samsung,257528,2,15,2,958070,6,2014
3/12/2024,Auriculares,Tarjeta de Credito,Recurrente,CABA,Envio Estandar,Pendiente,Lenovo,386119,2,9,5,3653734,5,8445
3/12/2024,Smartphone,Pago Contra Entrega,Recurrente,CABA,Envio Express,Pendiente,Lenovo,238514,2,5,11,4813410,5,4031
3/12/2024,Reloj Inteligente,Mercado Pago,Recurrente,CABA,Recogida en Tienda,Pendiente,Huawei,768140,1,10,9,6583561,6,3191
3/12/2024,Auriculares,Mercado Pago,Recurrente,CABA,Recogida en Tienda,Enviado,Lenovo,540744,1,11,8,3755862,6,3996
3/12/2024,Tablet,Transferencia Bancaria,Recurrente,Santa Fe,Envio Express,Pendiente,Sony,392895,4,7,18,26452160,6,9426
3/12/2024,Auriculares,Mercado Pago,Nuevo,Cordoba,Envio Express,Enviado,Sony,326663,3,9,19,17073113,5,8565
3/12/2024,Laptop,Mercado Pago,Recurrente,CABA,Envio Estandar,Entregado,Huawei,612393,2,9,17,20151616,4,1666
3/12/2024,Camara Digital,Mercado Pago,Nuevo,Buenos Aires,Envio Express,Pendiente,Huawei,171596,2,8,4,1177952,3,9227
3/12/2024,Smartphone,Mercado Pago,Nuevo,Buenos Aires,Envio Express,Enviado,Xiaomi,391867,1,3,1,343526,3,5107
3/12/2024,Tablet,Tarjeta de Credito,Recurrente,Cordoba,Envio Express,Pendiente,Apple,955638,2,11,19,35921906,4,5186
3/12/2024,Accesorios,Transferencia Bancaria,Nuevo,Buenos Aires,Envio Express,Pendiente,Samsung,315829,2,9,4,2227639,4,1857
3/12/2024,Tablet,Tarjeta de Credito,Recurrente,Cordoba,Envio Estandar,Entregado,Lenovo,865078,2,12,15,23785164,5,5855
3/12/2024,Reloj Inteligente,Pago Contra Entrega,Recurrente,Santa Fe,Recogida en Tienda,Cancelado,Samsung,113666,3,3,5,1495613,1,1811
3/12/2024,Reloj Inteligente,Transferencia Bancaria,Nuevo,Cordoba,Envio Express,Entregado,Samsung,850133,3,14,10,22493799,2,4061
3/12/2024,Camara Digital,PayPal,Recurrente,Santa Fe,Recogida en Tienda,Cancelado,Sony,869064,1,8,9,7425176,6,2922
3/12/2024,Laptop,Tarjeta de Credito,Nuevo,Santa Fe,Recogida en Tienda,Enviado,LG,878943,4,7,12,40805954,1,3204
3/12/2024,Tablet,Tarjeta de Credito,Nuevo,Neuquen,Recogida en Tienda,Enviado,Lenovo,432833,3,12,12,15334068,5,6617
3/12/2024,Accesorios,Pago Contra Entrega,Recurrente,Santa Fe,Envio Express,Entregado,Huawei,739369,4,10,16,44558411,4,2328
3/12/2024,Camara Digital,Pago Contra Entrega,Nuevo,CABA,Envio Estandar,Entregado,Huawei,178243,3,1,12,6245959,5,4387
3/12/2024,Tablet,Transferencia Bancaria,Recurrente,CABA,Envio Estandar,Enviado,Apple,405154,4,12,18,24804353,3,8537
3/12/2024,Accesorios,Mercado Pago,Recurrente,Cordoba,Envio Express,Cancelado,Sony,602795,1,14,13,7668855,2,1333
3/12/2024,Reloj Inteligente,Mercado Pago,Nuevo,Buenos Aires,Recogida en Tienda,Pendiente,Lenovo,955405,3,3,8,19637179,1,9771
3/12/2024,Smartphone,PayPal,Recurrente,Tucuman,Recogida en Tienda,Pendiente,Samsung,497281,2,15,13,12371616,2,5281
3/12/2024,Laptop,Transferencia Bancaria,Recurrente,Mendoza,Envio Express,Cancelado,Samsung,470168,3,13,5,6054299,1,4291
3/12/2024,Camara Digital,PayPal,Recurrente,Cordoba,Envio Express,Pendiente,Samsung,610088,1,15,19,10850160,6,1477
3/12/2024,Smartphone,PayPal,Recurrente,Tucuman,Recogida en Tienda,Entregado,Samsung,271743,1,11,18,4811448,3,7441
3/12/2024,Laptop,Tarjeta de Credito,Nuevo,CABA,Recogida en Tienda,Cancelado,Samsung,488764,3,13,15,20412020,3,6272
3/12/2024,Tablet,Transferencia Bancaria,Nuevo,La Rioja,Recogida en Tienda,Entregado,Sony,845480,1,14,13,9997731,3,4878
3/12/2024,Reloj Inteligente,Mercado Pago,Recurrente,Misiones,Envio Express,Cancelado,Motorola,781074,2,11,15,21462016,2,1389
