Fecha;Tipo de Empleado;Departamento;Razon de Salida;Estado de Dedicacion;Nivel de Educacion;Ubicacion;Nivel de Antiguedad;Edad;Años en la Empresa;Salario Anual (USD);Horas Trabajadas por Semana;Tasa de Rotacion (%);Evaluacion de Desempeño (0-5);Tiempo de Capacitacion (horas)
25/1/2024;Analista de Datos;Desarrollo;Condiciones Laborales;Bajo;Master;Remoto;Senior;45;8;102215;49;2,3214;2,04;76
26/1/2024;Ingeniero de Software;Marketing;Renuncia;Alto;Licenciatura;Oficina Principal;Senior;47;3;101349;43;3,2938;1,41;147
27/1/2024;Tester;Soporte;Despido;Bajo;Doctorado;Sucursal 1;Lider;43;2;63882;37;2,3132;1,23;53
28/1/2024;Product Owner;Ventas;Despido;Alto;Master;Sucursal 1;Senior;49;3;26348;44;3,9177;2,26;55
29/1/2024;Tester;Operaciones;Despido;Bajo;Doctorado;Sucursal 1;Lider;23;3;30624;36;9,5020;3,02;192
30/1/2024;Analista de Datos;Operaciones;Jubilacion;Promedio;Tecnico;Remoto;Senior;65;1;44499;47;8,8050;3,32;34
31/1/2024;Ingeniero de Software;Marketing;Jubilacion;Alto;Otros;Sucursal 1;Director;65;6;62544;38;7,7830;1,23;76
1/2/2024;UI/UX Designer;Operaciones;Jubilacion;Bajo;Master;Remoto;Senior;65;1;32931;47;1,6109;3,54;98
2/2/2024;Product Owner;Ventas;Despido;Bajo;Otros;Sucursal 1;Lider;39;6;82994;38;7,6784;3,84;49
3/2/2024;Analista de Datos;Consultoria;Jubilacion;Promedio;Tecnico;Sucursal 1;Director;65;2;97513;43;5,2065;3,96;139
4/2/2024;Gerente de Proyecto;Desarrollo;Jubilacion;Promedio;Doctorado;Oficina Principal;Senior;65;4;72475;36;3,4268;2,84;56
5/2/2024;Gerente de Proyecto;Soporte;Jubilacion;Promedio;Tecnico;Sucursal 1;Director;65;1;91211;45;5,5975;1,72;89
6/2/2024;Desarrollador;Soporte;Falta de Oportunidades;Promedio;Tecnico;Remoto;Director;63;8;85170;42;8,3287;3,80;115
7/2/2024;Product Owner;Desarrollo;Jubilacion;Alto;Tecnico;Remoto;Junior;65;5;103615;38;7,9378;2,78;59
8/2/2024;Gerente de Proyecto;Recursos Humanos;Condiciones Laborales;Bajo;Doctorado;Sucursal 1;Senior;65;2;78228;35;5,1241;1,56;133
9/2/2024;Product Owner;Marketing;Falta de Oportunidades;Promedio;Otros;Oficina Principal;Junior;40;1;117084;38;5,1987;4,94;70
10/2/2024;Ingeniero de Software;Marketing;Cambio de Sector;Promedio;Doctorado;Oficina Principal;Senior;33;2;48089;42;6,0513;3,26;116
11/2/2024;Analista de Datos;Desarrollo;Falta de Oportunidades;Promedio;Otros;Remoto;Director;50;8;25852;43;5,2449;3,36;116
12/2/2024;Product Owner;Consultoria;Renuncia;Alto;Master;Sucursal 1;Director;26;3;79356;36;2,1188;2,85;123
13/2/2024;UI/UX Designer;Soporte;Falta de Oportunidades;Alto;Otros;Oficina Principal;Lider;36;7;46681;42;6,9704;1,94;84
14/2/2024;UI/UX Designer;Recursos Humanos;Renuncia;Bajo;Doctorado;Sucursal 1;Director;27;5;99454;35;9,0366;4,04;191
15/2/2024;UI/UX Designer;Desarrollo;Renuncia;Alto;Tecnico;Remoto;Semi Senior;50;4;93508;37;8,9485;1,46;156
16/2/2024;UI/UX Designer;Marketing;Despido;Alto;Otros;Oficina Principal;Director;44;5;69501;49;4,8755;2,07;133
17/2/2024;Gerente de Proyecto;Consultoria;Renuncia;Bajo;Doctorado;Oficina Principal;Junior;37;2;73831;44;5,6748;4,40;27
18/2/2024;Analista de Datos;Ventas;Cambio de Sector;Bajo;Doctorado;Oficina Principal;Senior;53;8;53098;41;9,0722;1,01;79
19/2/2024;Product Owner;Operaciones;Jubilacion;Promedio;Otros;Sucursal 1;Director;65;9;44165;46;3,3084;2,28;48
20/2/2024;Ingeniero de Software;Recursos Humanos;Despido;Bajo;Master;Sucursal 1;Lider;61;5;91531;43;2,4128;2,65;116
21/2/2024;Desarrollador;Desarrollo;Cambio de Sector;Bajo;Tecnico;Oficina Principal;Lider;42;9;92328;41;6,8262;4,68;30
22/2/2024;Analista de Datos;Recursos Humanos;Despido;Alto;Licenciatura;Remoto;Senior;26;9;84668;45;7,4296;4,68;105
23/2/2024;Desarrollador;Marketing;Falta de Oportunidades;Bajo;Doctorado;Oficina Principal;Junior;42;1;61193;35;4,5731;2,59;23
24/2/2024;Ingeniero de Software;Operaciones;Cambio de Sector;Promedio;Doctorado;Remoto;Senior;38;6;59134;43;5,1159;1,90;11
25/2/2024;Gerente de Proyecto;Soporte;Cambio de Sector;Promedio;Doctorado;Remoto;Junior;50;9;44843;47;5,1603;1,12;86
26/2/2024;Desarrollador;Recursos Humanos;Renuncia;Promedio;Tecnico;Sucursal 1;Senior;59;2;80423;41;1,5526;2,02;134
27/2/2024;Tester;Soporte;Despido;Bajo;Doctorado;Remoto;Senior;31;4;61976;39;8,9158;4,72;122
28/2/2024;UI/UX Designer;Ventas;Despido;Bajo;Tecnico;Sucursal 1;Lider;54;8;112595;44;9,3037;2,36;124
29/2/2024;Desarrollador;Marketing;Renuncia;Bajo;Licenciatura;Oficina Principal;Semi Senior;29;1;37411;39;7,6574;1,51;157
1/3/2024;Analista de Datos;Operaciones;Falta de Oportunidades;Alto;Otros;Remoto;Director;26;3;31020;49;6,6143;4,44;166
2/3/2024;Gerente de Proyecto;Soporte;Jubilacion;Bajo;Master;Remoto;Semi Senior;65;4;76167;44;4,1553;1,27;20
3/3/2024;UI/UX Designer;Consultoria;Despido;Promedio;Otros;Remoto;Lider;41;7;34284;47;8,7070;1,25;30
4/3/2024;UI/UX Designer;Desarrollo;Condiciones Laborales;Bajo;Doctorado;Oficina Principal;Senior;44;7;92400;48;4,9469;3,25;78
5/3/2024;Product Owner;Ventas;Condiciones Laborales;Bajo;Doctorado;Oficina Principal;Junior;50;1;84607;38;8,8596;3,60;185
6/3/2024;Desarrollador;Desarrollo;Despido;Bajo;Tecnico;Remoto;Senior;61;2;49186;41;2,4755;4,04;191
7/3/2024;Ingeniero de Software;Soporte;Cambio de Sector;Alto;Licenciatura;Remoto;Lider;27;6;109149;49;7,8817;4,21;171
8/3/2024;Tester;Recursos Humanos;Despido;Alto;Master;Remoto;Director;50;4;110393;45;8,9566;1,95;13
9/3/2024;UI/UX Designer;Soporte;Cambio de Sector;Alto;Doctorado;Remoto;Senior;25;6;118065;47;7,0435;3,29;78
10/3/2024;Ingeniero de Software;Soporte;Renuncia;Alto;Licenciatura;Oficina Principal;Senior;38;2;115150;45;6,0293;1,68;73
11/3/2024;Desarrollador;Marketing;Despido;Bajo;Doctorado;Remoto;Junior;38;1;55302;47;2,3516;1,34;84
12/3/2024;Tester;Desarrollo;Condiciones Laborales;Bajo;Tecnico;Sucursal 1;Senior;65;2;41510;46;7,4968;2,96;199
13/3/2024;Gerente de Proyecto;Marketing;Jubilacion;Alto;Tecnico;Sucursal 1;Director;65;5;33399;41;3,1770;1,68;37
14/3/2024;Gerente de Proyecto;Consultoria;Jubilacion;Alto;Otros;Oficina Principal;Lider;65;1;93864;46;6,7845;4,12;76
15/3/2024;Desarrollador;Operaciones;Renuncia;Promedio;Otros;Sucursal 1;Lider;44;5;113591;39;1,9318;3,72;64
16/3/2024;Ingeniero de Software;Ventas;Cambio de Sector;Promedio;Otros;Remoto;Junior;53;6;104698;41;6,0898;3,32;23
17/3/2024;UI/UX Designer;Marketing;Falta de Oportunidades;Alto;Master;Remoto;Director;36;7;46207;44;7,2984;3,23;93
18/3/2024;Ingeniero de Software;Consultoria;Renuncia;Bajo;Licenciatura;Sucursal 1;Semi Senior;25;2;41423;48;4,2715;4,32;126
19/3/2024;Tester;Desarrollo;Condiciones Laborales;Alto;Tecnico;Remoto;Lider;24;9;84379;46;4,8535;1,45;117
20/3/2024;Gerente de Proyecto;Desarrollo;Renuncia;Promedio;Master;Remoto;Senior;64;9;111693;38;3,2524;1,96;64
21/3/2024;Product Owner;Soporte;Cambio de Sector;Alto;Licenciatura;Remoto;Lider;26;3;80504;38;8,1030;1,99;177
22/3/2024;Product Owner;Marketing;Condiciones Laborales;Bajo;Doctorado;Oficina Principal;Junior;63;3;29810;40;5,4422;1,99;157
23/3/2024;Desarrollador;Operaciones;Cambio de Sector;Promedio;Doctorado;Sucursal 1;Junior;65;3;70873;41;9,9239;1,74;104
24/3/2024;Tester;Marketing;Jubilacion;Alto;Otros;Oficina Principal;Lider;65;4;44174;40;7,3836;3,94;185
25/3/2024;Desarrollador;Operaciones;Cambio de Sector;Promedio;Master;Remoto;Director;37;6;109801;49;4,5898;4,75;173
26/3/2024;Tester;Ventas;Jubilacion;Promedio;Licenciatura;Remoto;Senior;65;8;29507;48;3,5350;1,82;106
27/3/2024;Gerente de Proyecto;Soporte;Condiciones Laborales;Bajo;Doctorado;Sucursal 1;Lider;62;1;119131;48;1,7250;4,11;106
28/3/2024;Tester;Ventas;Falta de Oportunidades;Bajo;Licenciatura;Sucursal 1;Director;45;9;29685;35;9,9547;3,16;50
29/3/2024;Tester;Operaciones;Despido;Bajo;Licenciatura;Remoto;Senior;41;4;27638;36;1,8814;1,97;10
30/3/2024;Desarrollador;Ventas;Renuncia;Alto;Doctorado;Oficina Principal;Junior;37;6;78683;42;8,0416;3,90;166
31/3/2024;Gerente de Proyecto;Soporte;Falta de Oportunidades;Alto;Licenciatura;Remoto;Senior;54;8;55880;42;5,3943;1,00;11
1/4/2024;Ingeniero de Software;Operaciones;Renuncia;Promedio;Tecnico;Sucursal 1;Semi Senior;46;5;61027;37;6,5293;1,87;171
2/4/2024;Ingeniero de Software;Operaciones;Despido;Promedio;Licenciatura;Sucursal 1;Semi Senior;25;1;68692;40;1,5997;2,59;33
3/4/2024;Desarrollador;Soporte;Cambio de Sector;Promedio;Master;Sucursal 1;Director;40;8;106946;47;6,2218;1,65;185
4/4/2024;UI/UX Designer;Marketing;Renuncia;Promedio;Doctorado;Sucursal 1;Semi Senior;39;2;44708;37;5,0672;2,78;93
5/4/2024;Analista de Datos;Operaciones;Cambio de Sector;Promedio;Doctorado;Remoto;Senior;52;5;41836;45;6,4299;4,73;161
6/4/2024;Product Owner;Consultoria;Despido;Alto;Licenciatura;Sucursal 1;Senior;55;3;87620;39;3,0791;2,51;110
7/4/2024;Tester;Soporte;Falta de Oportunidades;Alto;Otros;Remoto;Director;25;8;111415;42;1,4703;3,70;77
8/4/2024;UI/UX Designer;Ventas;Despido;Bajo;Licenciatura;Oficina Principal;Semi Senior;36;5;73400;41;1,6964;4,68;97
9/4/2024;Gerente de Proyecto;Consultoria;Despido;Bajo;Otros;Sucursal 1;Semi Senior;34;1;51678;49;4,5076;4,55;79
10/4/2024;Tester;Recursos Humanos;Cambio de Sector;Promedio;Master;Sucursal 1;Semi Senior;32;3;90855;48;6,5020;3,24;11
11/4/2024;UI/UX Designer;Operaciones;Jubilacion;Promedio;Tecnico;Oficina Principal;Lider;65;6;118370;46;6,7632;5,00;36
12/4/2024;Gerente de Proyecto;Consultoria;Renuncia;Bajo;Licenciatura;Remoto;Junior;65;6;119490;41;6,9647;1,06;29
13/4/2024;Tester;Soporte;Condiciones Laborales;Bajo;Doctorado;Remoto;Semi Senior;23;1;25425;47;3,5254;4,14;47
14/4/2024;Product Owner;Soporte;Cambio de Sector;Promedio;Licenciatura;Remoto;Junior;36;9;89983;39;6,6969;1,53;39
15/4/2024;Tester;Ventas;Jubilacion;Promedio;Licenciatura;Oficina Principal;Semi Senior;65;3;54119;45;5,3461;3,88;85
16/4/2024;UI/UX Designer;Consultoria;Cambio de Sector;Promedio;Otros;Remoto;Director;54;6;90297;46;5,5654;3,94;110
17/4/2024;Gerente de Proyecto;Soporte;Condiciones Laborales;Bajo;Otros;Remoto;Junior;59;2;114716;42;5,7704;4,23;74
18/4/2024;Gerente de Proyecto;Recursos Humanos;Renuncia;Alto;Otros;Remoto;Junior;34;7;112827;49;8,8285;4,44;102
19/4/2024;Tester;Ventas;Renuncia;Promedio;Licenciatura;Remoto;Junior;60;9;42005;37;7,9899;3,33;157
20/4/2024;UI/UX Designer;Recursos Humanos;Despido;Promedio;Otros;Sucursal 1;Director;38;1;107563;47;3,2730;4,86;126
21/4/2024;Ingeniero de Software;Soporte;Cambio de Sector;Bajo;Otros;Sucursal 1;Lider;29;8;51550;47;9,4364;3,32;198
22/4/2024;Product Owner;Operaciones;Falta de Oportunidades;Promedio;Master;Remoto;Lider;47;1;67618;40;3,5309;2,91;17
23/4/2024;Desarrollador;Consultoria;Despido;Alto;Tecnico;Remoto;Director;64;4;41440;44;1,8059;1,37;87
24/4/2024;Analista de Datos;Marketing;Condiciones Laborales;Bajo;Otros;Oficina Principal;Senior;64;9;66925;48;5,5471;3,28;128
25/4/2024;Tester;Soporte;Despido;Alto;Licenciatura;Oficina Principal;Semi Senior;62;8;112115;45;7,9356;2,15;28
26/4/2024;Gerente de Proyecto;Recursos Humanos;Cambio de Sector;Bajo;Tecnico;Oficina Principal;Senior;63;5;34152;49;7,9692;3,27;154
27/4/2024;Desarrollador;Recursos Humanos;Despido;Promedio;Tecnico;Remoto;Semi Senior;23;9;66366;48;3,2584;4,89;90
28/4/2024;Analista de Datos;Consultoria;Renuncia;Promedio;Licenciatura;Remoto;Junior;31;6;79518;43;7,4362;1,55;189
29/4/2024;Gerente de Proyecto;Marketing;Jubilacion;Promedio;Otros;Oficina Principal;Junior;65;9;62292;39;8,6797;4,83;135
30/4/2024;Product Owner;Operaciones;Condiciones Laborales;Alto;Licenciatura;Remoto;Director;30;2;116483;48;6,9096;2,64;103
1/5/2024;Product Owner;Ventas;Despido;Bajo;Licenciatura;Sucursal 1;Senior;42;3;75278;37;5,1151;2,31;185
2/5/2024;Tester;Ventas;Cambio de Sector;Promedio;Licenciatura;Oficina Principal;Director;49;5;100289;43;7,5089;2,21;93
3/5/2024;Analista de Datos;Marketing;Falta de Oportunidades;Bajo;Licenciatura;Oficina Principal;Director;55;8;110151;36;2,6019;3,22;17
4/5/2024;UI/UX Designer;Operaciones;Falta de Oportunidades;Promedio;Licenciatura;Sucursal 1;Lider;29;1;106740;43;9,3031;1,16;101
5/5/2024;Ingeniero de Software;Recursos Humanos;Despido;Bajo;Master;Sucursal 1;Junior;63;6;112273;36;7,6656;2,61;144
6/5/2024;Tester;Ventas;Falta de Oportunidades;Alto;Licenciatura;Oficina Principal;Senior;52;9;41743;41;3,6896;3,84;129
7/5/2024;Tester;Recursos Humanos;Despido;Bajo;Tecnico;Oficina Principal;Director;33;4;35108;39;1,5285;4,74;199
8/5/2024;Product Owner;Soporte;Cambio de Sector;Bajo;Doctorado;Remoto;Senior;50;3;101757;42;6,5989;2,24;52
9/5/2024;Product Owner;Consultoria;Despido;Alto;Doctorado;Oficina Principal;Director;36;6;32571;40;8,3957;3,72;49
10/5/2024;Analista de Datos;Consultoria;Despido;Promedio;Licenciatura;Sucursal 1;Lider;57;8;112785;40;4,8248;2,71;67
11/5/2024;Product Owner;Marketing;Falta de Oportunidades;Alto;Doctorado;Remoto;Senior;26;3;89775;40;9,3848;4,60;123
12/5/2024;Ingeniero de Software;Operaciones;Cambio de Sector;Promedio;Doctorado;Oficina Principal;Lider;36;9;26339;37;2,8849;1,60;62
13/5/2024;Tester;Consultoria;Cambio de Sector;Bajo;Doctorado;Oficina Principal;Junior;59;9;68690;38;6,8361;4,59;161
14/5/2024;Product Owner;Desarrollo;Cambio de Sector;Bajo;Otros;Remoto;Junior;23;6;58948;38;1,4617;4,58;40
15/5/2024;Ingeniero de Software;Marketing;Condiciones Laborales;Alto;Otros;Sucursal 1;Junior;43;8;40928;39;5,4497;1,67;67
16/5/2024;Desarrollador;Consultoria;Jubilacion;Bajo;Doctorado;Oficina Principal;Director;65;4;103132;35;3,3257;3,99;106
17/5/2024;Product Owner;Recursos Humanos;Jubilacion;Bajo;Tecnico;Sucursal 1;Senior;65;1;108123;43;5,0624;3,85;90
18/5/2024;Analista de Datos;Desarrollo;Falta de Oportunidades;Bajo;Tecnico;Remoto;Senior;31;9;28382;39;9,7522;1,20;60
19/5/2024;Desarrollador;Recursos Humanos;Cambio de Sector;Promedio;Licenciatura;Sucursal 1;Lider;47;5;97392;37;6,1482;3,96;99
20/5/2024;Product Owner;Soporte;Cambio de Sector;Alto;Tecnico;Sucursal 1;Lider;62;6;71831;39;3,8703;4,08;125
21/5/2024;Desarrollador;Marketing;Jubilacion;Alto;Tecnico;Remoto;Senior;65;8;56536;45;6,0247;1,08;121
22/5/2024;Product Owner;Recursos Humanos;Renuncia;Bajo;Licenciatura;Remoto;Junior;32;4;47988;46;5,1844;3,62;36
23/5/2024;UI/UX Designer;Operaciones;Renuncia;Promedio;Tecnico;Oficina Principal;Junior;47;3;45504;48;3,7839;2,39;114
24/5/2024;UI/UX Designer;Operaciones;Jubilacion;Alto;Otros;Oficina Principal;Semi Senior;65;2;30801;39;5,3203;2,95;93
25/5/2024;Ingeniero de Software;Marketing;Falta de Oportunidades;Alto;Licenciatura;Oficina Principal;Senior;46;8;102273;47;8,7999;1,54;166
26/5/2024;UI/UX Designer;Operaciones;Falta de Oportunidades;Promedio;Licenciatura;Remoto;Junior;60;6;72551;37;1,6820;4,16;98
27/5/2024;Tester;Desarrollo;Falta de Oportunidades;Bajo;Master;Sucursal 1;Lider;59;2;104999;43;9,7142;3,63;55
28/5/2024;Gerente de Proyecto;Ventas;Falta de Oportunidades;Alto;Doctorado;Sucursal 1;Junior;32;3;73194;38;1,0733;2,07;109
29/5/2024;Tester;Ventas;Cambio de Sector;Alto;Otros;Remoto;Senior;65;2;59657;48;8,5119;2,41;121
30/5/2024;Ingeniero de Software;Recursos Humanos;Renuncia;Bajo;Tecnico;Sucursal 1;Junior;52;3;41019;41;3,2070;4,00;85
31/5/2024;Tester;Marketing;Jubilacion;Promedio;Licenciatura;Sucursal 1;Semi Senior;65;3;69925;44;9,4401;4,22;86
1/6/2024;Desarrollador;Desarrollo;Jubilacion;Bajo;Doctorado;Oficina Principal;Semi Senior;65;5;44718;41;3,4507;3,49;83
2/6/2024;Analista de Datos;Desarrollo;Despido;Bajo;Licenciatura;Sucursal 1;Senior;55;9;43675;35;7,0356;1,46;104
3/6/2024;Analista de Datos;Operaciones;Renuncia;Bajo;Licenciatura;Remoto;Semi Senior;60;6;52384;40;7,1242;3,71;103
4/6/2024;Desarrollador;Marketing;Renuncia;Promedio;Licenciatura;Remoto;Semi Senior;55;6;104392;48;3,2414;4,51;129
5/6/2024;Analista de Datos;Recursos Humanos;Falta de Oportunidades;Alto;Otros;Remoto;Senior;24;6;95623;45;3,6306;1,13;68
6/6/2024;Ingeniero de Software;Operaciones;Despido;Bajo;Doctorado;Remoto;Lider;51;6;39707;47;9,6289;2,67;34
7/6/2024;Tester;Operaciones;Despido;Alto;Licenciatura;Remoto;Director;34;3;67818;48;5,7263;1,19;72
8/6/2024;Analista de Datos;Soporte;Renuncia;Alto;Master;Sucursal 1;Junior;64;4;63110;35;8,0761;2,48;192
9/6/2024;Desarrollador;Ventas;Falta de Oportunidades;Bajo;Licenciatura;Sucursal 1;Senior;34;8;105810;46;9,8641;1,12;169
10/6/2024;Desarrollador;Operaciones;Jubilacion;Promedio;Licenciatura;Remoto;Director;65;7;66697;35;1,8541;4,71;25
11/6/2024;UI/UX Designer;Consultoria;Despido;Bajo;Tecnico;Remoto;Senior;59;3;40517;46;3,1293;3,45;131
12/6/2024;Desarrollador;Ventas;Falta de Oportunidades;Promedio;Doctorado;Remoto;Director;31;2;108800;41;5,3237;3,06;52
13/6/2024;Ingeniero de Software;Desarrollo;Jubilacion;Alto;Tecnico;Sucursal 1;Junior;65;1;35057;42;4,1147;1,78;82
14/6/2024;Gerente de Proyecto;Marketing;Cambio de Sector;Bajo;Doctorado;Oficina Principal;Lider;28;8;66996;46;8,3701;2,27;104
15/6/2024;Gerente de Proyecto;Operaciones;Condiciones Laborales;Bajo;Master;Sucursal 1;Lider;46;3;27022;45;9,5227;4,06;112
16/6/2024;Tester;Marketing;Cambio de Sector;Bajo;Doctorado;Sucursal 1;Junior;41;5;87166;40;5,6519;3,17;67
17/6/2024;Analista de Datos;Recursos Humanos;Cambio de Sector;Alto;Licenciatura;Remoto;Senior;48;8;31628;47;7,3612;4,60;46
18/6/2024;Analista de Datos;Desarrollo;Despido;Alto;Licenciatura;Oficina Principal;Director;41;5;107060;48;8,8401;1,26;40
19/6/2024;Analista de Datos;Soporte;Jubilacion;Promedio;Tecnico;Sucursal 1;Junior;65;6;112532;46;2,2135;1,41;114
20/6/2024;Product Owner;Operaciones;Falta de Oportunidades;Bajo;Licenciatura;Oficina Principal;Semi Senior;49;9;88223;40;4,6855;3,71;108
21/6/2024;Product Owner;Consultoria;Despido;Bajo;Doctorado;Oficina Principal;Lider;53;7;89939;48;3,0471;2,96;95
22/6/2024;Gerente de Proyecto;Soporte;Jubilacion;Bajo;Licenciatura;Remoto;Senior;65;5;103247;36;6,3061;3,03;68
23/6/2024;Gerente de Proyecto;Recursos Humanos;Jubilacion;Promedio;Master;Sucursal 1;Junior;65;2;80893;38;3,4881;4,82;28
24/6/2024;Desarrollador;Operaciones;Renuncia;Alto;Doctorado;Oficina Principal;Director;30;3;94868;49;8,4048;3,04;102
25/6/2024;Product Owner;Desarrollo;Condiciones Laborales;Bajo;Doctorado;Oficina Principal;Semi Senior;32;3;100019;48;6,6201;4,27;11
26/6/2024;Tester;Marketing;Renuncia;Promedio;Master;Sucursal 1;Director;64;1;40637;38;7,8382;3,52;25
27/6/2024;Gerente de Proyecto;Consultoria;Condiciones Laborales;Promedio;Otros;Sucursal 1;Lider;52;3;26403;45;2,8690;4,94;72
28/6/2024;Product Owner;Recursos Humanos;Renuncia;Bajo;Doctorado;Oficina Principal;Junior;51;1;41727;38;4,1539;4,22;140
29/6/2024;Ingeniero de Software;Soporte;Jubilacion;Alto;Master;Oficina Principal;Junior;65;2;116589;36;6,3612;2,10;139
30/6/2024;Desarrollador;Recursos Humanos;Falta de Oportunidades;Promedio;Licenciatura;Oficina Principal;Lider;25;1;64908;46;3,6849;1,61;36
1/7/2024;UI/UX Designer;Desarrollo;Renuncia;Promedio;Master;Remoto;Senior;38;8;40368;38;1,1446;3,38;56
2/7/2024;Ingeniero de Software;Consultoria;Despido;Promedio;Tecnico;Sucursal 1;Junior;29;7;94688;37;1,1181;3,39;57
3/7/2024;Analista de Datos;Marketing;Renuncia;Promedio;Tecnico;Oficina Principal;Lider;25;6;56373;41;1,9970;1,97;73
4/7/2024;Tester;Recursos Humanos;Despido;Promedio;Licenciatura;Oficina Principal;Senior;57;7;26326;49;3,2209;4,46;127
5/7/2024;Gerente de Proyecto;Recursos Humanos;Cambio de Sector;Bajo;Otros;Sucursal 1;Lider;37;5;36295;49;7,8341;3,41;197
6/7/2024;Desarrollador;Marketing;Jubilacion;Alto;Doctorado;Oficina Principal;Semi Senior;65;4;67963;41;3,0836;4,41;169
7/7/2024;Desarrollador;Consultoria;Falta de Oportunidades;Bajo;Master;Remoto;Junior;56;7;117202;38;3,5758;1,12;135
8/7/2024;Ingeniero de Software;Ventas;Jubilacion;Alto;Tecnico;Remoto;Director;65;1;116077;45;1,2000;3,39;26
9/7/2024;Gerente de Proyecto;Recursos Humanos;Despido;Alto;Licenciatura;Sucursal 1;Junior;51;3;61498;49;6,8725;4,35;175
10/7/2024;Analista de Datos;Operaciones;Despido;Bajo;Otros;Sucursal 1;Director;65;6;107273;44;2,6099;1,34;176
11/7/2024;UI/UX Designer;Soporte;Cambio de Sector;Promedio;Master;Remoto;Director;45;1;105993;38;2,1236;4,18;160
12/7/2024;Ingeniero de Software;Marketing;Renuncia;Alto;Doctorado;Oficina Principal;Director;52;4;103337;39;2,3849;4,38;183
13/7/2024;Gerente de Proyecto;Ventas;Despido;Bajo;Master;Oficina Principal;Senior;37;2;111152;47;7,2557;3,30;177
14/7/2024;Desarrollador;Desarrollo;Falta de Oportunidades;Promedio;Licenciatura;Sucursal 1;Semi Senior;59;6;96308;43;3,0879;3,83;110
