Fecha,Tipo de Consulta,Segmento de Cliente,Canal de Comunicacion,Empleado Responsable,Ubicacion,Estado del Ticket,Nivel de Satisfaccion,Numero de Consultas,Tiempo de Resolucion (minutos),Numero de Seguimientos,Numero de Tickets Abiertos,Numero de Tickets Cerrados,Porcentaje de Resolucion al Primer Contacto,Numero de Escalaciones
13/1/2024,Consulta de Facturacion,Individual,Telefono,EMP0015,Oficina en Linea,En Progreso,Muy Insatisfecho,5,70,2,0,1,70.65,2
14/1/2024,Problema de Producto,Distribuidor,Redes Sociales,EMP0018,Oficina en Linea,En Progreso,Neutral,9,53,1,2,1,91.06,0
15/1/2024,Reclamacion de Envio,Individual,Telefono,EMP0007,Oficina Principal,En Progreso,Satisfecho,9,74,3,0,8,77.76,0
16/1/2024,Solicitud de Devolucion,Mayorista,Redes Sociales,EMP0003,Oficina en Linea,Pendiente,Insatisfecho,12,87,2,8,5,56.95,0
17/1/2024,Problema de Producto,Individual,Telefono,EMP0002,Oficina Principal,En Progreso,Insatisfecho,2,31,3,4,9,44.79,2
18/1/2024,Consulta de Facturacion,Individual,Chat en Linea,EMP0011,Oficina Principal,Cerrado,Insatisfecho,3,74,2,6,8,52.34,0
19/1/2024,Problema de Producto,Empresa,Formulario Web,EMP0015,Sucursal A,Pendiente,Muy Satisfecho,8,6,2,2,3,71.29,2
20/1/2024,Problema de Producto,Distribuidor,Redes Sociales,EMP0007,Oficina Principal,Pendiente,Satisfecho,9,81,3,8,8,66.35,2
21/1/2024,Consulta de Garantia,Distribuidor,Formulario Web,EMP0019,Sucursal B,Abierto,Muy Satisfecho,11,51,0,0,8,49.40,0
22/1/2024,Consulta de Facturacion,Empresa,Formulario Web,EMP0005,Sucursal A,Pendiente,Muy Satisfecho,13,64,1,9,0,49.65,1
23/1/2024,Solicitud de Devolucion,Mayorista,Telefono,EMP0019,Oficina en Linea,Abierto,Satisfecho,18,14,0,0,8,42.83,1
24/1/2024,Solicitud de Devolucion,Mayorista,Telefono,EMP0010,Sucursal A,Cerrado,Muy Insatisfecho,14,65,4,3,4,48.42,2
25/1/2024,Soporte Tecnico,Individual,Redes Sociales,EMP0015,Sucursal B,Cerrado,Neutral,11,44,1,5,9,81.88,2
26/1/2024,Informacion de Promociones,Distribuidor,Correo Electronico,EMP0001,Sucursal A,Pendiente,Neutral,2,9,2,8,9,62.93,1
27/1/2024,Solicitud de Devolucion,Individual,Correo Electronico,EMP0017,Sucursal A,En Progreso,Neutral,15,18,1,8,6,93.18,2
28/1/2024,Soporte Tecnico,Empresa,Formulario Web,EMP0010,Sucursal A,Pendiente,Muy Satisfecho,2,99,1,1,4,54.23,1
29/1/2024,Reclamacion de Envio,Individual,Correo Electronico,EMP0004,Sucursal A,Pendiente,Muy Satisfecho,13,93,4,4,1,88.42,2
30/1/2024,Consulta de Facturacion,Mayorista,Chat en Linea,EMP0017,Sucursal B,Abierto,Muy Satisfecho,11,74,0,4,4,58.52,2
31/1/2024,Informacion de Promociones,Distribuidor,Telefono,EMP0010,Sucursal B,En Progreso,Muy Insatisfecho,15,80,2,1,0,48.18,0
1/2/2024,Soporte Tecnico,Empresa,Formulario Web,EMP0012,Oficina en Linea,Cerrado,Muy Satisfecho,6,71,1,8,0,47.52,1
2/2/2024,Consulta de Facturacion,Mayorista,Telefono,EMP0011,Sucursal B,En Progreso,Satisfecho,15,115,0,8,1,56.45,2
3/2/2024,Problema de Producto,Mayorista,Correo Electronico,EMP0003,Sucursal A,Pendiente,Muy Satisfecho,16,118,4,3,3,94.96,1
4/2/2024,Consulta de Facturacion,Mayorista,Chat en Linea,EMP0019,Oficina en Linea,En Progreso,Muy Satisfecho,1,27,0,2,9,98.28,0
5/2/2024,Consulta de Facturacion,Mayorista,Chat en Linea,EMP0018,Sucursal B,Abierto,Insatisfecho,8,69,4,4,8,90.46,1
6/2/2024,Consulta de Facturacion,Mayorista,Redes Sociales,EMP0018,Oficina Principal,Abierto,Satisfecho,8,83,1,4,5,95.91,2
7/2/2024,Problema de Producto,Empresa,Formulario Web,EMP0004,Sucursal B,Abierto,Insatisfecho,10,117,2,6,8,68.32,1
8/2/2024,Informacion de Promociones,Mayorista,Chat en Linea,EMP0005,Oficina Principal,En Progreso,Insatisfecho,1,108,0,7,4,57.20,0
9/2/2024,Solicitud de Devolucion,Mayorista,Formulario Web,EMP0003,Oficina en Linea,En Progreso,Muy Satisfecho,11,81,4,4,8,93.09,1
10/2/2024,Soporte Tecnico,Mayorista,Formulario Web,EMP0001,Oficina en Linea,Cerrado,Muy Insatisfecho,8,42,2,7,0,57.19,1
11/2/2024,Reclamacion de Envio,Distribuidor,Formulario Web,EMP0017,Sucursal B,Cerrado,Satisfecho,15,18,1,0,0,73.28,1
12/2/2024,Consulta de Facturacion,Mayorista,Telefono,EMP0017,Sucursal A,Pendiente,Muy Satisfecho,19,23,0,8,5,70.48,1
13/2/2024,Consulta de Facturacion,Individual,Formulario Web,EMP0020,Sucursal A,Cerrado,Neutral,14,13,3,2,1,45.37,2
14/2/2024,Soporte Tecnico,Empresa,Correo Electronico,EMP0001,Oficina en Linea,Cerrado,Neutral,4,96,2,6,6,66.69,1
15/2/2024,Soporte Tecnico,Empresa,Chat en Linea,EMP0001,Sucursal B,Cerrado,Muy Insatisfecho,8,37,0,1,8,50.92,0
16/2/2024,Consulta de Garantia,Individual,Telefono,EMP0004,Sucursal B,Cerrado,Satisfecho,12,37,4,1,6,64.43,1
17/2/2024,Problema de Producto,Mayorista,Chat en Linea,EMP0009,Sucursal A,Pendiente,Satisfecho,18,49,3,4,8,84.52,0
18/2/2024,Soporte Tecnico,Empresa,Correo Electronico,EMP0006,Oficina Principal,Cerrado,Insatisfecho,9,43,2,6,3,52.38,0
19/2/2024,Problema de Producto,Mayorista,Telefono,EMP0012,Oficina en Linea,Pendiente,Neutral,4,37,3,8,6,49.03,0
20/2/2024,Solicitud de Devolucion,Distribuidor,Redes Sociales,EMP0013,Sucursal B,Abierto,Neutral,6,8,2,2,9,55.31,0
21/2/2024,Problema de Producto,Individual,Correo Electronico,EMP0020,Oficina en Linea,Cerrado,Neutral,14,86,1,2,0,85.80,2
22/2/2024,Consulta de Facturacion,Empresa,Redes Sociales,EMP0011,Oficina en Linea,En Progreso,Satisfecho,13,30,4,3,9,46.32,1
23/2/2024,Reclamacion de Envio,Empresa,Chat en Linea,EMP0012,Sucursal B,Pendiente,Muy Satisfecho,8,29,4,7,5,87.53,1
24/2/2024,Consulta de Facturacion,Mayorista,Correo Electronico,EMP0010,Oficina en Linea,En Progreso,Neutral,7,103,1,1,8,77.10,2
25/2/2024,Problema de Producto,Individual,Redes Sociales,EMP0016,Sucursal B,En Progreso,Neutral,14,107,2,5,5,45.59,1
26/2/2024,Informacion de Promociones,Distribuidor,Redes Sociales,EMP0017,Oficina Principal,Abierto,Muy Insatisfecho,8,86,2,7,6,93.19,2
27/2/2024,Consulta de Garantia,Distribuidor,Telefono,EMP0013,Sucursal A,Pendiente,Insatisfecho,12,37,4,8,9,65.90,0
28/2/2024,Consulta de Facturacion,Empresa,Telefono,EMP0001,Sucursal B,En Progreso,Muy Insatisfecho,2,22,0,1,0,49.65,1
29/2/2024,Consulta de Garantia,Mayorista,Chat en Linea,EMP0009,Oficina Principal,Pendiente,Muy Satisfecho,4,33,2,6,3,87.62,0
1/3/2024,Solicitud de Devolucion,Mayorista,Correo Electronico,EMP0008,Sucursal A,En Progreso,Muy Insatisfecho,4,109,1,2,6,77.29,1
2/3/2024,Consulta de Garantia,Mayorista,Redes Sociales,EMP0018,Oficina Principal,Pendiente,Muy Insatisfecho,11,12,4,2,5,54.77,1
3/3/2024,Informacion de Promociones,Distribuidor,Correo Electronico,EMP0001,Oficina en Linea,Abierto,Neutral,10,53,1,4,8,65.27,1
4/3/2024,Consulta de Garantia,Mayorista,Formulario Web,EMP0003,Oficina Principal,En Progreso,Neutral,5,70,1,9,3,87.41,0
5/3/2024,Solicitud de Devolucion,Individual,Chat en Linea,EMP0001,Oficina en Linea,Abierto,Insatisfecho,9,72,2,7,2,76.41,2
6/3/2024,Consulta de Garantia,Empresa,Chat en Linea,EMP0001,Sucursal B,En Progreso,Insatisfecho,7,83,1,4,0,78.69,0
7/3/2024,Informacion de Promociones,Mayorista,Telefono,EMP0019,Sucursal A,Pendiente,Muy Insatisfecho,12,76,4,7,7,40.79,2
8/3/2024,Reclamacion de Envio,Distribuidor,Redes Sociales,EMP0018,Sucursal A,En Progreso,Satisfecho,5,98,0,3,0,83.43,1
9/3/2024,Informacion de Promociones,Individual,Correo Electronico,EMP0012,Oficina en Linea,Pendiente,Satisfecho,3,51,4,6,4,79.03,1
10/3/2024,Reclamacion de Envio,Empresa,Redes Sociales,EMP0006,Oficina Principal,Cerrado,Insatisfecho,8,43,3,4,1,98.77,1
11/3/2024,Solicitud de Devolucion,Empresa,Chat en Linea,EMP0017,Sucursal B,En Progreso,Muy Satisfecho,3,92,4,9,5,88.60,1
12/3/2024,Solicitud de Devolucion,Mayorista,Redes Sociales,EMP0012,Oficina Principal,Cerrado,Insatisfecho,4,109,3,2,7,95.84,0
13/3/2024,Consulta de Garantia,Distribuidor,Chat en Linea,EMP0002,Sucursal B,Cerrado,Muy Insatisfecho,12,68,2,4,3,82.69,2
14/3/2024,Consulta de Facturacion,Distribuidor,Formulario Web,EMP0004,Sucursal B,En Progreso,Satisfecho,1,16,3,8,0,94.74,2
15/3/2024,Solicitud de Devolucion,Empresa,Redes Sociales,EMP0007,Sucursal B,En Progreso,Muy Insatisfecho,8,40,0,6,6,69.12,2
16/3/2024,Problema de Producto,Mayorista,Chat en Linea,EMP0002,Oficina Principal,Abierto,Muy Satisfecho,9,18,2,7,4,41.93,1
17/3/2024,Consulta de Facturacion,Distribuidor,Redes Sociales,EMP0020,Oficina Principal,Cerrado,Neutral,3,111,0,8,1,87.14,0
18/3/2024,Informacion de Promociones,Distribuidor,Redes Sociales,EMP0020,Sucursal B,Pendiente,Insatisfecho,6,100,3,0,5,92.79,1
19/3/2024,Soporte Tecnico,Individual,Correo Electronico,EMP0015,Sucursal A,En Progreso,Neutral,9,55,2,6,5,86.87,2
20/3/2024,Informacion de Promociones,Empresa,Redes Sociales,EMP0007,Sucursal B,Cerrado,Satisfecho,2,59,3,9,4,53.06,0
21/3/2024,Reclamacion de Envio,Mayorista,Redes Sociales,EMP0019,Oficina en Linea,Cerrado,Muy Satisfecho,3,82,1,7,5,94.74,0
22/3/2024,Reclamacion de Envio,Individual,Redes Sociales,EMP0003,Oficina en Linea,Pendiente,Muy Insatisfecho,14,32,0,7,8,47.29,1
23/3/2024,Reclamacion de Envio,Mayorista,Chat en Linea,EMP0009,Oficina en Linea,En Progreso,Insatisfecho,13,47,1,8,8,99.94,0
24/3/2024,Consulta de Facturacion,Distribuidor,Chat en Linea,EMP0012,Oficina Principal,En Progreso,Satisfecho,14,24,0,5,6,73.32,0
25/3/2024,Solicitud de Devolucion,Empresa,Redes Sociales,EMP0018,Oficina Principal,Cerrado,Muy Satisfecho,14,17,0,6,2,56.24,0
26/3/2024,Problema de Producto,Individual,Formulario Web,EMP0003,Sucursal A,En Progreso,Muy Insatisfecho,17,50,2,7,8,57.91,1
27/3/2024,Soporte Tecnico,Empresa,Redes Sociales,EMP0009,Sucursal A,Cerrado,Muy Insatisfecho,15,49,1,8,9,90.86,1
28/3/2024,Reclamacion de Envio,Distribuidor,Redes Sociales,EMP0006,Oficina Principal,Pendiente,Satisfecho,12,85,3,1,6,91.48,0
29/3/2024,Informacion de Promociones,Empresa,Chat en Linea,EMP0005,Oficina Principal,Abierto,Muy Insatisfecho,7,34,2,3,3,82.36,1
30/3/2024,Consulta de Facturacion,Mayorista,Telefono,EMP0009,Sucursal A,Abierto,Neutral,9,52,0,3,0,94.21,0
31/3/2024,Problema de Producto,Distribuidor,Telefono,EMP0014,Oficina en Linea,Pendiente,Neutral,12,108,3,3,9,53.60,2
1/4/2024,Solicitud de Devolucion,Mayorista,Redes Sociales,EMP0002,Oficina Principal,En Progreso,Muy Satisfecho,17,21,0,0,5,83.64,2
2/4/2024,Soporte Tecnico,Individual,Formulario Web,EMP0003,Sucursal B,Pendiente,Neutral,19,100,0,1,5,77.46,0
3/4/2024,Informacion de Promociones,Mayorista,Correo Electronico,EMP0001,Sucursal A,Cerrado,Satisfecho,7,48,3,8,5,85.30,2
4/4/2024,Reclamacion de Envio,Individual,Chat en Linea,EMP0004,Oficina Principal,Abierto,Muy Satisfecho,16,87,4,7,3,92.34,2
5/4/2024,Solicitud de Devolucion,Distribuidor,Correo Electronico,EMP0013,Oficina en Linea,Cerrado,Insatisfecho,3,77,3,9,8,61.42,2
6/4/2024,Consulta de Facturacion,Distribuidor,Correo Electronico,EMP0008,Oficina en Linea,En Progreso,Muy Insatisfecho,19,47,2,0,4,58.00,0
7/4/2024,Reclamacion de Envio,Empresa,Formulario Web,EMP0018,Sucursal A,Abierto,Neutral,19,68,3,7,0,88.12,1
8/4/2024,Consulta de Facturacion,Empresa,Formulario Web,EMP0020,Oficina Principal,Pendiente,Insatisfecho,8,94,2,9,3,48.11,0
9/4/2024,Solicitud de Devolucion,Empresa,Telefono,EMP0004,Oficina Principal,Abierto,Muy Insatisfecho,5,5,1,2,9,86.40,0
10/4/2024,Soporte Tecnico,Distribuidor,Chat en Linea,EMP0007,Sucursal A,Pendiente,Satisfecho,14,53,3,3,2,44.77,1
11/4/2024,Reclamacion de Envio,Empresa,Telefono,EMP0013,Oficina Principal,Pendiente,Insatisfecho,19,23,1,7,7,43.58,0
12/4/2024,Reclamacion de Envio,Individual,Formulario Web,EMP0001,Sucursal B,Cerrado,Muy Satisfecho,12,113,3,7,5,50.42,0
13/4/2024,Informacion de Promociones,Distribuidor,Formulario Web,EMP0018,Oficina en Linea,Abierto,Satisfecho,9,16,2,2,9,75.63,0
14/4/2024,Consulta de Garantia,Individual,Chat en Linea,EMP0014,Oficina en Linea,Pendiente,Neutral,6,112,1,3,9,71.34,2
15/4/2024,Problema de Producto,Distribuidor,Chat en Linea,EMP0008,Oficina en Linea,Cerrado,Insatisfecho,4,32,4,2,6,60.58,0
16/4/2024,Reclamacion de Envio,Empresa,Redes Sociales,EMP0010,Sucursal B,Cerrado,Satisfecho,1,113,3,7,9,73.69,0
17/4/2024,Problema de Producto,Mayorista,Redes Sociales,EMP0008,Oficina en Linea,En Progreso,Satisfecho,5,106,2,7,1,73.71,1
18/4/2024,Solicitud de Devolucion,Empresa,Correo Electronico,EMP0003,Sucursal B,En Progreso,Insatisfecho,9,35,2,7,0,52.57,2
19/4/2024,Consulta de Garantia,Individual,Chat en Linea,EMP0003,Oficina Principal,Pendiente,Neutral,7,64,0,0,1,90.91,2
20/4/2024,Solicitud de Devolucion,Mayorista,Chat en Linea,EMP0006,Sucursal B,Abierto,Satisfecho,18,81,2,4,5,85.02,0
21/4/2024,Informacion de Promociones,Empresa,Telefono,EMP0011,Oficina en Linea,En Progreso,Insatisfecho,2,111,2,0,4,97.75,2
22/4/2024,Soporte Tecnico,Distribuidor,Telefono,EMP0004,Oficina en Linea,Pendiente,Satisfecho,8,57,3,8,7,94.16,2
23/4/2024,Solicitud de Devolucion,Distribuidor,Redes Sociales,EMP0020,Oficina en Linea,Abierto,Muy Satisfecho,5,57,1,6,3,94.64,1
24/4/2024,Soporte Tecnico,Empresa,Correo Electronico,EMP0016,Oficina en Linea,En Progreso,Insatisfecho,5,15,3,0,2,42.03,1
25/4/2024,Consulta de Facturacion,Individual,Formulario Web,EMP0011,Sucursal B,En Progreso,Insatisfecho,7,16,3,8,3,59.07,2
26/4/2024,Consulta de Garantia,Individual,Redes Sociales,EMP0020,Sucursal B,Pendiente,Satisfecho,12,91,4,5,8,46.82,1
27/4/2024,Informacion de Promociones,Distribuidor,Telefono,EMP0002,Sucursal A,Pendiente,Insatisfecho,13,62,4,8,7,60.89,0
28/4/2024,Problema de Producto,Individual,Formulario Web,EMP0005,Sucursal A,Abierto,Muy Satisfecho,4,51,3,6,7,64.86,1
29/4/2024,Consulta de Facturacion,Individual,Correo Electronico,EMP0005,Sucursal B,En Progreso,Neutral,9,97,4,6,5,93.39,0
30/4/2024,Informacion de Promociones,Mayorista,Telefono,EMP0016,Oficina Principal,Pendiente,Muy Satisfecho,8,67,0,6,4,66.17,1
1/5/2024,Soporte Tecnico,Mayorista,Redes Sociales,EMP0014,Oficina en Linea,Cerrado,Insatisfecho,14,13,2,7,7,71.82,2
2/5/2024,Reclamacion de Envio,Individual,Redes Sociales,EMP0007,Sucursal B,En Progreso,Insatisfecho,6,18,3,0,3,41.95,0
3/5/2024,Problema de Producto,Distribuidor,Correo Electronico,EMP0001,Sucursal A,Pendiente,Satisfecho,1,100,1,9,9,75.31,1
4/5/2024,Consulta de Facturacion,Mayorista,Redes Sociales,EMP0002,Oficina Principal,Cerrado,Muy Insatisfecho,6,71,4,3,5,99.42,1
5/5/2024,Consulta de Facturacion,Empresa,Correo Electronico,EMP0014,Sucursal B,Abierto,Muy Insatisfecho,16,11,0,6,8,78.93,0
6/5/2024,Informacion de Promociones,Mayorista,Chat en Linea,EMP0005,Oficina en Linea,Abierto,Neutral,17,10,4,8,2,52.65,1
7/5/2024,Consulta de Facturacion,Empresa,Telefono,EMP0013,Oficina en Linea,En Progreso,Satisfecho,5,39,0,1,8,72.51,2
8/5/2024,Solicitud de Devolucion,Individual,Chat en Linea,EMP0013,Oficina en Linea,En Progreso,Muy Satisfecho,13,95,0,5,7,60.07,0
9/5/2024,Reclamacion de Envio,Empresa,Chat en Linea,EMP0007,Oficina en Linea,En Progreso,Satisfecho,18,59,0,1,2,41.99,2
10/5/2024,Consulta de Facturacion,Individual,Redes Sociales,EMP0015,Sucursal B,En Progreso,Satisfecho,19,32,3,3,6,59.85,0
11/5/2024,Consulta de Facturacion,Distribuidor,Formulario Web,EMP0010,Oficina Principal,Cerrado,Muy Satisfecho,11,27,2,6,4,97.45,0
12/5/2024,Consulta de Facturacion,Individual,Redes Sociales,EMP0002,Sucursal A,En Progreso,Satisfecho,12,14,3,1,6,80.26,0
13/5/2024,Consulta de Garantia,Individual,Telefono,EMP0019,Sucursal A,Abierto,Insatisfecho,8,85,2,8,3,67.13,0
14/5/2024,Reclamacion de Envio,Mayorista,Redes Sociales,EMP0013,Sucursal B,En Progreso,Neutral,13,58,1,5,2,76.33,2
15/5/2024,Consulta de Facturacion,Empresa,Telefono,EMP0006,Oficina en Linea,Pendiente,Muy Insatisfecho,15,66,4,7,6,61.14,2
16/5/2024,Problema de Producto,Distribuidor,Formulario Web,EMP0001,Sucursal A,En Progreso,Muy Satisfecho,11,19,3,8,5,86.22,0
17/5/2024,Consulta de Garantia,Mayorista,Formulario Web,EMP0001,Sucursal B,Cerrado,Muy Insatisfecho,6,18,4,8,4,98.20,0
18/5/2024,Informacion de Promociones,Individual,Formulario Web,EMP0012,Sucursal B,En Progreso,Insatisfecho,18,15,4,2,3,89.89,2
19/5/2024,Solicitud de Devolucion,Mayorista,Telefono,EMP0014,Sucursal B,En Progreso,Muy Insatisfecho,16,59,1,8,5,47.00,0
20/5/2024,Solicitud de Devolucion,Individual,Formulario Web,EMP0011,Sucursal B,Cerrado,Insatisfecho,6,97,4,3,0,89.74,0
21/5/2024,Consulta de Facturacion,Empresa,Chat en Linea,EMP0001,Oficina en Linea,Cerrado,Muy Insatisfecho,5,22,2,7,7,75.81,2
22/5/2024,Reclamacion de Envio,Individual,Redes Sociales,EMP0005,Oficina Principal,Pendiente,Neutral,14,30,3,5,5,56.60,2
23/5/2024,Reclamacion de Envio,Individual,Redes Sociales,EMP0003,Sucursal B,Cerrado,Insatisfecho,10,51,1,0,4,40.11,2
24/5/2024,Soporte Tecnico,Mayorista,Telefono,EMP0013,Oficina Principal,Abierto,Muy Satisfecho,4,119,2,7,7,76.27,1
25/5/2024,Soporte Tecnico,Individual,Correo Electronico,EMP0005,Oficina en Linea,Cerrado,Muy Satisfecho,9,93,2,3,3,76.72,0
26/5/2024,Problema de Producto,Empresa,Correo Electronico,EMP0013,Sucursal B,Abierto,Satisfecho,2,44,1,9,1,44.66,2
27/5/2024,Problema de Producto,Distribuidor,Redes Sociales,EMP0010,Oficina en Linea,Abierto,Satisfecho,15,47,1,0,4,48.55,0
28/5/2024,Consulta de Garantia,Empresa,Correo Electronico,EMP0003,Oficina Principal,Cerrado,Neutral,13,69,4,3,6,43.16,1
29/5/2024,Reclamacion de Envio,Individual,Correo Electronico,EMP0001,Oficina Principal,Pendiente,Muy Insatisfecho,19,7,0,2,4,58.22,2
30/5/2024,Problema de Producto,Empresa,Correo Electronico,EMP0013,Sucursal B,Pendiente,Muy Insatisfecho,4,23,2,1,6,85.80,2
31/5/2024,Soporte Tecnico,Individual,Telefono,EMP0005,Oficina en Linea,En Progreso,Insatisfecho,13,15,2,9,1,55.32,0
1/6/2024,Reclamacion de Envio,Individual,Chat en Linea,EMP0011,Oficina Principal,En Progreso,Neutral,7,96,0,7,0,98.15,0
2/6/2024,Soporte Tecnico,Empresa,Formulario Web,EMP0012,Oficina Principal,Abierto,Insatisfecho,13,119,2,9,2,87.30,2
3/6/2024,Consulta de Facturacion,Mayorista,Telefono,EMP0011,Oficina en Linea,En Progreso,Muy Satisfecho,1,86,3,5,0,82.85,2
4/6/2024,Informacion de Promociones,Distribuidor,Chat en Linea,EMP0015,Sucursal A,Pendiente,Muy Satisfecho,9,57,4,7,2,52.43,0
5/6/2024,Consulta de Garantia,Distribuidor,Formulario Web,EMP0006,Oficina en Linea,Pendiente,Muy Insatisfecho,16,114,4,7,2,89.14,0
6/6/2024,Informacion de Promociones,Individual,Formulario Web,EMP0003,Sucursal B,Cerrado,Satisfecho,17,18,3,4,7,69.53,2
7/6/2024,Informacion de Promociones,Mayorista,Telefono,EMP0016,Sucursal A,Pendiente,Satisfecho,19,81,0,1,4,98.57,1
8/6/2024,Consulta de Facturacion,Mayorista,Redes Sociales,EMP0013,Sucursal B,Cerrado,Muy Satisfecho,16,87,1,4,2,59.87,0
9/6/2024,Problema de Producto,Distribuidor,Telefono,EMP0016,Oficina Principal,Pendiente,Insatisfecho,15,48,2,5,4,83.24,0
10/6/2024,Soporte Tecnico,Individual,Formulario Web,EMP0005,Sucursal B,En Progreso,Muy Insatisfecho,1,55,2,7,7,72.93,0
11/6/2024,Reclamacion de Envio,Empresa,Correo Electronico,EMP0015,Oficina en Linea,Pendiente,Insatisfecho,14,36,1,9,9,81.13,2
12/6/2024,Reclamacion de Envio,Individual,Correo Electronico,EMP0016,Oficina Principal,En Progreso,Satisfecho,11,47,1,1,9,83.29,2
13/6/2024,Problema de Producto,Distribuidor,Redes Sociales,EMP0001,Sucursal B,Abierto,Neutral,15,37,0,6,0,99.74,2
14/6/2024,Consulta de Garantia,Empresa,Telefono,EMP0008,Oficina en Linea,Pendiente,Satisfecho,18,10,2,8,6,96.50,0
15/6/2024,Soporte Tecnico,Individual,Formulario Web,EMP0020,Oficina en Linea,En Progreso,Insatisfecho,4,34,1,9,4,96.22,0
16/6/2024,Informacion de Promociones,Mayorista,Correo Electronico,EMP0005,Oficina en Linea,Abierto,Satisfecho,4,78,2,8,3,85.03,1
17/6/2024,Problema de Producto,Individual,Chat en Linea,EMP0007,Sucursal A,En Progreso,Satisfecho,19,34,3,9,2,96.27,2
18/6/2024,Informacion de Promociones,Empresa,Correo Electronico,EMP0010,Sucursal A,Pendiente,Satisfecho,5,77,1,3,6,52.63,2
19/6/2024,Reclamacion de Envio,Empresa,Redes Sociales,EMP0016,Sucursal B,Pendiente,Satisfecho,2,10,0,9,9,64.44,0
20/6/2024,Consulta de Facturacion,Individual,Telefono,EMP0005,Oficina en Linea,En Progreso,Muy Insatisfecho,10,113,0,5,1,58.97,0
21/6/2024,Consulta de Garantia,Distribuidor,Telefono,EMP0020,Sucursal B,En Progreso,Muy Satisfecho,17,74,2,5,7,43.81,1
22/6/2024,Soporte Tecnico,Empresa,Correo Electronico,EMP0011,Oficina Principal,En Progreso,Satisfecho,11,88,2,6,3,70.86,0
23/6/2024,Problema de Producto,Distribuidor,Chat en Linea,EMP0018,Sucursal A,Cerrado,Satisfecho,11,85,0,9,9,74.80,0
24/6/2024,Consulta de Facturacion,Individual,Telefono,EMP0020,Sucursal A,En Progreso,Muy Insatisfecho,11,6,2,6,1,63.64,0
25/6/2024,Solicitud de Devolucion,Distribuidor,Telefono,EMP0013,Oficina en Linea,Abierto,Muy Insatisfecho,19,6,0,9,1,65.48,1
26/6/2024,Soporte Tecnico,Mayorista,Formulario Web,EMP0019,Oficina en Linea,Pendiente,Neutral,11,14,4,1,9,98.49,1
27/6/2024,Reclamacion de Envio,Individual,Redes Sociales,EMP0012,Oficina en Linea,Cerrado,Muy Insatisfecho,8,65,0,4,0,68.06,1
28/6/2024,Reclamacion de Envio,Individual,Formulario Web,EMP0018,Oficina Principal,Pendiente,Neutral,3,5,4,0,9,85.01,1
29/6/2024,Solicitud de Devolucion,Empresa,Redes Sociales,EMP0015,Oficina en Linea,Abierto,Neutral,9,38,3,1,7,47.49,1
30/6/2024,Soporte Tecnico,Individual,Telefono,EMP0006,Sucursal A,Pendiente,Satisfecho,8,115,3,5,7,68.73,2
1/7/2024,Problema de Producto,Mayorista,Chat en Linea,EMP0010,Oficina Principal,Cerrado,Insatisfecho,18,40,3,4,5,48.83,0
2/7/2024,Soporte Tecnico,Mayorista,Chat en Linea,EMP0017,Sucursal A,En Progreso,Satisfecho,18,44,1,7,1,69.41,1
3/7/2024,Soporte Tecnico,Individual,Telefono,EMP0010,Oficina Principal,Abierto,Muy Satisfecho,11,119,0,0,2,94.40,1
